UMAP1,UMAP2
6.0905848,-7.161148
13.751868,10.544777
11.418718,11.608393
10.542574,9.488722
12.466639,15.125901
0.3401843,9.999061
11.08758,9.345519
2.550956,-4.3643885
2.9029253,0.28600746
13.723402,3.03103
15.828885,2.7726517
0.20193774,2.467833
4.4822392,10.040651
6.3291326,-3.460159
2.8399518,2.5637386
12.789079,10.644932
1.9071634,10.233408
11.210629,1.3592101
-5.8494377,9.01941
16.5609,4.0371842
0.6527815,3.5482793
3.4829397,10.134947
1.7295979,7.706036
4.452822,10.031986
4.1224575,4.4344783
-4.4386783,11.939111
4.9136367,-4.717129
0.15444775,2.37599
12.857604,10.078165
-3.575215,12.267672
13.250255,0.0095105665
10.983965,9.236766
13.247183,2.001985
5.218811,-3.8198888
-1.0370297,13.034316
11.372308,12.122999
0.57830715,3.651655
-0.7996395,-4.861941
-3.62082,1.7931067
11.398243,10.836734
14.349231,2.1657386
0.11135218,-4.9212136
1.2513527,8.6262045
11.569431,11.355464
4.858372,-4.059982
6.1019597,4.997842
-5.036525,11.464548
2.6154313,0.6426072
4.25297,12.2848625
10.19984,1.4205469
17.541069,4.7591357
-4.5271797,12.811967
2.50436,0.8469022
2.4702616,-5.781668
9.969627,1.4562504
7.528556,-4.9641366
3.9718182,4.260932
14.437312,2.074357
13.707664,0.77878386
11.71314,6.951718
13.693845,0.62645376
-6.085275,11.372465
5.9135237,5.6088305
0.1275839,2.3297565
2.6712608,0.5682132
4.4835477,8.714841
17.55655,4.7295804
-2.1439404,2.0659034
2.5645869,-4.3567524
2.8931224,-6.160096
11.3642435,6.5707583
6.2005634,-2.7694702
3.4803033,3.835206
-0.57885146,-4.774865
10.642886,15.7252655
4.3199553,12.698663
2.2916577,-4.825912
11.236517,1.3331145
11.261842,9.018259
3.541032,10.174565
-0.29197255,-4.662586
15.276891,2.268029
6.1456294,4.9423356
-1.9705248,12.606835
1.1206441,9.638275
15.297007,2.7827795
0.5863209,7.6831493
2.5529234,2.8005068
6.247597,7.546558
0.32668814,9.995547
12.865004,4.8426285
2.764806,2.584523
12.87726,9.731967
10.591092,15.687425
4.8454256,-4.0873494
11.319889,6.464855
4.9988146,-4.790091
8.019676,15.5285225
13.012785,4.8436775
2.3905072,-4.698235
-1.212534,12.905641
